,0,1,2,3,4,5,6,7,8,9
20,-0.4498298,-1.1124213,1.607111,-1.4393367,-0.20791097,-0.20914367,-0.4298375,-0.36485606,-0.48289412,-0.27677172
21,1.5683243,0.80748117,-0.4272879,-1.0255165,-0.20791097,-0.20914367,-0.4298375,-0.36485606,-0.48289412,-0.27677172
22,-0.5548529,-0.21357511,-0.089525945,1.041237,3.184818,-0.20914367,-0.4298375,3.3331969,1.3443431,0.50491995
23,-0.86090803,-0.67021626,-0.089607745,0.39819878,2.3380728,-0.20914367,-0.4298375,2.4163837,1.5402151,-0.27677172
24,-0.5518803,-0.34312865,1.5513314,-1.0168984,-0.20791097,1.3938155,-0.4298375,-0.36485606,0.31502607,-0.27677172
25,1.4895879,1.1225399,-0.0718252,-0.9993009,-0.20791097,-0.20914367,-0.4298375,-0.36485606,-0.48289412,-0.27677172
26,-1.0588177,-0.88205755,1.1001917,-0.6167158,1.2022195,-0.20914367,-0.4298375,-0.36485606,-0.48289412,0.4693159
27,-0.8554142,-0.658901,-0.4272879,-0.07961982,-0.20791097,-0.20914367,-0.4298375,-0.36485606,2.729617,-0.27677172
28,-1.0588177,-1.1124213,-0.4272879,-0.31439778,1.9620258,-0.20914367,-0.4298375,0.22025998,3.12068,-0.27677172
29,1.6637843,1.1317229,-0.4272879,-0.08517918,-0.20791097,-0.20914367,0.78363264,-0.36485606,-0.48289412,0.5213573
30,1.7585156,1.1315837,-0.4272879,-0.7008916,-0.20791097,0.67824864,0.78350306,0.19282645,-0.48289412,-0.27677172
31,0.54137576,0.89107525,0.44289163,0.83343595,-0.20791097,-0.20914367,0.044824716,-0.36485606,-0.48289412,-0.27677172
32,-0.5227016,0.7260168,-0.4272879,0.36364648,-0.20791097,-0.20914367,-0.4298375,-0.36485606,-0.48289412,-0.27677172
33,-0.39551708,-0.04030627,0.23190744,-1.4393367,-0.20791097,-0.20914367,0.07142844,-0.36485606,-0.0196195,-0.27677172
34,0.96981823,1.1303326,-0.4272879,-0.08626338,-0.20791097,-0.20914367,-0.4298375,-0.36485606,-0.48289412,0.5203712
35,0.61531913,0.9287451,-0.4272879,-0.6839861,-0.20791097,-0.20914367,-0.4298375,-0.36485606,-0.48289412,3.5075333
36,-0.6737589,-1.1124213,-0.4272879,-0.31758836,-0.20791097,-0.20914367,-0.4298375,1.1055264,1.9906493,-0.27677172
