,0,1,2,3,4,5,6,7,8,9,10
36,1.0686834,1.4292068,2.0685632,-0.3318816,2.1528854,2.5061493,1.8443302,1.0418649,-0.98802406,-0.24012458,-0.7626659
37,0.7771466,0.44073692,-0.06678016,0.35495487,0.65144664,0.31500515,0.5530646,0.32827902,-0.3512139,-0.24012458,0.9639901
38,0.8084258,1.1002293,1.1303082,0.06658756,0.6197763,0.47253028,0.7704354,-0.11812028,-0.26033896,-0.24012458,0.1533445
39,1.502466,0.33873516,0.57846344,-0.7513611,0.5265626,0.3112159,1.4210676,0.16169068,-0.35333714,-0.24012458,0.5643966
40,0.70037544,0.29726455,0.5606377,0.47035664,0.3921888,0.40491685,-0.038931504,0.058859374,-0.55036825,-0.24012458,0.51973397
41,1.4230841,1.1902097,1.1422708,-0.18973286,0.9238382,0.79731345,0.9843206,0.34952098,-0.98802406,1.1599736,-0.7626659
42,0.046281878,0.27081499,0.13569248,0.591205,0.18765791,0.62933916,0.5131264,-0.14412844,0.79412776,-0.24012458,0.637396
43,0.96265036,1.1871958,1.0200082,-0.8724863,0.71650124,0.69096667,0.9924738,0.20473137,-0.98802406,-0.24012458,-0.7626659
44,0.32744157,0.30536667,-0.5357295,-0.62895155,-0.14470002,0.75483024,0.6725759,0.3838591,-0.2208477,-0.24012458,1.2293022
45,0.632618,0.6957825,0.66637707,0.08150781,0.4854406,0.36671594,0.35124052,-0.4093479,1.2184981,-0.24012458,1.3467699
46,1.391893,1.054733,1.3407289,0.07849544,0.96382684,0.38894013,0.88151157,0.50207764,0.9877127,-0.24012458,0.2978244
47,0.86735916,0.49956548,0.9835736,0.44279334,0.37126476,-0.21495226,0.51141024,0.2517814,-0.5169923,-0.24012458,-0.7626659
48,0.14926064,0.570963,0.79454535,1.0635009,0.273966,0.8470116,0.31553012,-1.4989358,-0.98802406,-0.24012458,1.1284906
49,0.058048908,-0.1560815,-0.12857208,-0.6813645,-0.3980001,-0.9946793,0.1064822,-0.23491526,0.9143964,-0.24012458,0.8506688
50,1.2509997,0.64931977,0.6901152,0.31563368,0.3894454,1.3673556,0.6577639,0.8655675,0.47687885,-0.24012458,0.5286682
51,0.46717176,0.15097785,0.45363745,0.6591388,-0.0022225422,-0.27496305,0.53708285,-0.37867874,-0.22572155,-0.24012458,1.3975213
52,0.4061885,0.019001529,0.6165945,1.6454451,0.0023443971,-0.77119756,0.19005103,0.08872315,0.16819564,-0.24012458,0.3389334
53,-0.678027,0.24171868,0.39446205,-0.43971083,0.12732583,0.5763316,0.5367175,-0.12432297,1.1915171,-0.24012458,1.6165489
54,-0.34778878,-0.33175093,-0.12957157,0.78055036,-0.041949727,1.2039574,0.38849688,0.73312455,-0.98802406,-0.24012458,-0.19266999
55,1.0858192,0.092127785,1.0032377,-0.67202395,-0.21118696,1.1518515,0.7058824,0.75261277,1.3475034,-0.24012458,1.1363555
56,0.7624256,0.72840095,0.49481866,0.70953107,0.46993005,0.46407074,0.4850459,0.11380156,-0.32792878,-0.24012458,0.6099923
57,0.08911284,-0.25611222,0.007354748,-0.26788202,-0.19827214,0.12536885,-0.50019443,0.09071736,-0.39316115,-0.24012458,-0.7626659
58,-1.1260334,-1.2140054,-0.8866369,1.4786128,-1.3294479,-0.702209,-1.602048,-1.4989358,1.8469149,-0.24012458,1.4098474
59,1.39414,0.32301554,0.6110425,-0.31827477,0.7833574,0.75787675,1.1521068,0.38668874,-0.98802406,-0.24012458,-0.15439278
60,0.98061657,0.09537949,0.34527484,0.3387278,0.12643287,0.18267642,0.19530602,-0.39967936,-0.98802406,-0.24012458,-0.7626659
61,0.107523,0.18441166,0.5983996,-0.9184148,0.47641453,-0.033737276,0.50655377,0.31799084,-0.98802406,-0.24012458,-0.7626659
62,1.1154753,0.7002096,0.47617397,0.17334059,0.75147116,0.13411741,1.148042,0.5103224,-0.07350517,-0.24012458,-0.7626659
63,0.69670606,0.0805406,0.37750083,1.3591646,-0.042478677,-0.6674309,0.21389724,-0.055294648,2.0067515,-0.24012458,1.4986222
64,-1.3510396,-0.7099687,-1.0625976,1.6534787,-1.792996,-1.2722949,-0.84394115,-1.4989358,2.2495306,-0.24012458,2.515955
65,-0.4306122,-0.85966784,-0.65988696,1.2165656,-0.9316431,-0.7633294,-0.47179303,-0.6930162,0.66764235,0.5195064,1.0880178
66,-0.19041562,-0.7069821,-0.075060345,1.785206,-0.663175,-0.62055284,-0.100476325,-0.8935974,0.11129622,-0.24012458,0.6211591
67,0.15226679,0.2351353,-0.36668423,1.1991998,-0.4791821,-0.5380068,-0.80307806,-0.08486713,0.22923717,-0.24012458,-0.7626659
68,-1.3510396,-0.65777194,-0.14392787,1.1086053,-0.05780621,-0.26135534,-0.45725825,-0.19763522,0.74664855,1.465735,-0.20181528
69,0.4870824,0.23506248,0.50177175,1.1149794,0.31827787,-0.42500836,-0.03360052,-0.25077963,0.74640226,-0.24012458,2.5790875
70,0.46542957,0.5901512,0.344556,0.68545747,0.4710208,0.6878515,0.072295435,-1.4989358,-0.25913692,-0.24012458,-0.7626659
71,0.14295319,0.8149845,0.3184644,-0.26297542,0.6609478,0.18955524,1.0091243,0.29346907,-0.98802406,-0.24012458,0.13340686
72,0.16405568,-0.39136195,-0.71544033,1.2347379,-0.6213371,-0.5890158,-0.72439194,-0.8643058,0.15672979,0.8254168,2.1853044
