,0,1
164,2.445595,6.1548867
165,6.7429137,6.4403434
166,2.0087256,6.1297174
167,0.9284148,6.053684
168,1.4651979,6.0955243
169,9.083569,6.4147043
170,8.6317425,6.4381757
171,9.467232,6.4133077
172,2.9910889,6.5912685
173,8.082542,6.8853016
174,2.0947313,6.508593
175,5.8804336,6.8961096
176,6.32849,6.916237
177,3.5896456,6.705999
178,4.073211,6.760637
179,5.419032,6.8851037
180,7.2508802,6.9311
181,2.502426,6.5741873
182,6.749626,6.9387016
183,1.4986513,6.465086
184,4.958789,6.8650627
185,7.609435,6.9461436
186,0.9638939,6.4228425
187,8.590498,6.9106493
188,9.0190115,6.8909087
189,9.396067,6.8720336
190,3.0667307,7.0151505
191,8.022744,7.3369255
192,0.47713488,6.683546
193,2.6099744,6.9791517
194,2.15729,6.9078584
195,7.239709,7.4091907
196,1.0814941,6.7670608
197,1.5787597,6.8289557
198,4.1507463,7.219385
199,3.662109,7.153917
200,5.469447,7.370136
201,6.334889,7.4189444
202,6.7562985,7.4299183
203,5.9125867,7.40496
204,4.5548124,7.282571
205,7.633492,7.4053497
206,5.0247707,7.3418913
207,8.550649,7.35957
208,8.94986,7.3196344
209,3.158196,7.4435883
210,8.013721,7.854813
211,2.6838589,7.4092655
212,8.508377,7.825328
213,6.359826,7.938541
214,8.918206,7.7683415
215,5.948845,7.9227943
216,7.630982,7.912481
217,5.5521274,7.897143
218,7.2313213,7.9443126
219,6.832638,7.9575624
220,5.068786,7.856406
221,4.6679344,7.80103
222,3.8038845,7.664945
223,4.2013674,7.7262955
224,3.2753994,7.90298
225,8.005104,8.316576
226,4.7351584,8.243717
227,5.995924,8.402274
228,6.4250064,8.42694
229,3.868355,8.087455
230,7.627803,8.391497
231,4.309658,8.171923
232,7.2470245,8.433705
233,5.6047354,8.386027
234,5.1815205,8.338887
235,6.8314915,8.468645
236,8.872053,8.273428
237,8.506844,8.340319
238,6.867242,8.94188
239,8.011858,8.79757
240,4.8057003,8.722362
241,6.0745173,8.904697
242,6.4788184,8.933772
243,4.417858,8.644264
244,7.312079,8.922397
245,5.6596637,8.87631
246,5.286916,8.824044
247,7.6248627,8.912008
248,8.476994,8.811551
249,8.020026,9.3155775
250,7.6597767,9.428662
251,7.3182845,9.465549
252,6.929066,9.530961
253,8.041726,9.842079
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
