,0,1,2
236,0.41568628,0.34901962,0.48235294
237,0.6666667,0.49411765,0.6862745
238,0.6666667,0.47843137,0.67058825
239,0.627451,0.45490196,0.6392157
240,0.34901962,0.2901961,0.49411765
241,0.6117647,0.5411765,0.654902
242,0.5372549,0.4509804,0.5882353
243,0.6784314,0.5411765,0.69803923
244,0.5686275,0.47058824,0.5882353
245,0.6392157,0.5372549,0.6745098
246,0.69411767,0.5176471,0.69803923
247,0.58431375,0.2901961,0.58431375
248,0.56078434,0.45882353,0.62352943
249,0.6392157,0.5176471,0.6784314
250,0.67058825,0.49803922,0.68235296
251,0.5529412,0.40392157,0.65882355
252,0.6313726,0.47843137,0.6666667
253,0.49019608,0.3882353,0.58431375
254,0.63529414,0.45882353,0.6509804
255,0.59607846,0.5137255,0.6431373
256,0.30588236,0.29411766,0.60784316
257,0.5019608,0.38431373,0.6156863
258,0.6509804,0.57254905,0.68235296
259,0.4627451,0.39607844,0.53333336
260,0.69411767,0.56078434,0.69411767
261,0.5568628,0.49019608,0.60784316
262,0.6745098,0.6156863,0.6862745
263,0.49411765,0.40392157,0.6
264,0.64705884,0.5372549,0.6862745
265,0.5058824,0.41568628,0.6313726
266,0.43137255,0.37254903,0.5686275
267,0.61960787,0.4862745,0.6509804
268,0.57254905,0.5137255,0.6117647
269,0.2784314,0.21960784,0.48235294
270,0.49019608,0.38431373,0.5686275
271,0.654902,0.54901963,0.6901961
272,0.6509804,0.5568628,0.68235296
273,0.4745098,0.34509805,0.59607846
274,0.5882353,0.43137255,0.61960787
275,0.65882355,0.5411765,0.64705884
276,0.62352943,0.5254902,0.6784314
277,0.6392157,0.5294118,0.6392157
278,0.49803922,0.4509804,0.61960787
279,0.67058825,0.4745098,0.7019608
280,0.6392157,0.5254902,0.6862745
281,0.5294118,0.49019608,0.6392157
282,0.57254905,0.4627451,0.5921569
283,0.61960787,0.43137255,0.6509804
284,0.61960787,0.5019608,0.6784314
285,0.54901963,0.47058824,0.59607846
286,0.58431375,0.42352942,0.6745098
287,0.6666667,0.5686275,0.7019608
288,0.5686275,0.41568628,0.5882353
289,0.5372549,0.4392157,0.58431375
290,0.65882355,0.54509807,0.67058825
291,0.6509804,0.5372549,0.68235296
292,0.30588236,0.24705882,0.5058824
293,0.56078434,0.4,0.627451
294,0.5294118,0.47843137,0.6862745
295,0.6117647,0.48235294,0.6392157
296,0.6313726,0.48235294,0.6431373
297,0.6039216,0.4509804,0.6431373
298,0.6313726,0.5568628,0.69803923
299,0.5882353,0.4862745,0.61960787
300,0.654902,0.44705883,0.654902
301,0.61960787,0.45882353,0.65882355
302,0.654902,0.57254905,0.69411767
303,0.47843137,0.30980393,0.5058824
304,0.54901963,0.41568628,0.6156863
305,0.64705884,0.49019608,0.67058825
306,0.6313726,0.52156866,0.69411767
307,0.53333336,0.41960785,0.627451
308,0.5803922,0.43529412,0.6313726
309,0.3372549,0.2509804,0.4745098
310,0.38039216,0.31764707,0.5764706
311,0.5019608,0.3764706,0.63529414
312,0.63529414,0.41960785,0.6901961
313,0.46666667,0.38039216,0.5764706
314,0.6666667,0.5176471,0.64705884
315,0.654902,0.48235294,0.68235296
316,0.64705884,0.6039216,0.69411767
317,0.63529414,0.5254902,0.654902
318,0.64705884,0.5254902,0.6666667
319,0.6509804,0.62352943,0.69411767
320,0.5372549,0.45882353,0.5882353
321,0.59607846,0.4392157,0.6313726
322,0.63529414,0.34509805,0.5568628
323,0.49019608,0.4509804,0.5647059
324,0.5568628,0.4627451,0.6392157
325,0.27450982,0.2509804,0.5019608
326,0.53333336,0.41960785,0.6156863
